,地点,最低温度,风力
0,成都,16,-
1,攀枝花,18,-
2,自贡,18,-
3,绵阳,16,-
4,南充,16,-
5,达州,16,-
6,遂宁,16,-
7,广安,16,-
8,巴中,15,-
9,泸州,17,-
10,宜宾,18,-
11,内江,16,-
12,资阳,17,-
13,乐山,17,-
14,眉山,16,-
15,凉山,15,-
16,雅安,16,-
17,甘孜,3,-
18,阿坝,0,-
19,德阳,16,-
20,广元,15,-
21,重庆,16,-
22,永川,17,-
23,合川,16,-
24,南川,16,-
25,江津,17,-
26,渝北,15,-
27,北碚,16,-
28,巴南,16,-
29,长寿,16,-
30,黔江,13,-
31,渝中,16,-
32,万州,15,-
33,涪陵,15,-
34,城口,11,-
35,云阳,15,-
36,巫溪,13,-
37,奉节,14,-
38,巫山,12,-
39,潼南,17,-
40,垫江,14,-
41,梁平,14,-
42,忠县,15,-
43,石柱,13,-
44,大足,17,-
45,荣昌,17,-
46,铜梁,17,-
47,璧山,16,-
48,丰都,16,-
49,武隆,14,-
50,彭水,15,-
51,綦江,16,-
52,酉阳,10,-
53,大渡口,16,-
54,秀山,11,-
55,江北,16,-
56,沙坪坝,16,-
57,九龙坡,16,-
58,南岸,16,-
59,开州,15,-
60,贵阳,12,-
61,遵义,13,-
62,安顺,10,-
63,黔南,11,-
64,黔东南,11,-
65,铜仁,13,-
66,毕节,12,-
67,六盘水,12,-
68,黔西南,14,-
69,昆明,14,-
70,大理,16,-
71,红河,20,-
72,曲靖,12,-
73,保山,15,-
74,文山,17,-
75,玉溪,13,-
76,楚雄,15,-
77,普洱,15,-
78,昭通,10,-
79,临沧,15,-
80,怒江,17,-
81,迪庆,5,-
82,丽江,12,-
83,德宏,17,-
84,西双版纳,19,-
85,拉萨,8,-
86,日喀则,6,-
87,山南,3,-
88,林芝,8,-
89,昌都,6,-
90,那曲,0,-
91,阿里,-4,-
